fromNode	toNode	weight	direction	fromAltName	toAltName
NDUFS5	UQCRH	0.0104149889106402	undirected	M.23	M.366
NDUFS5	NDUFS2	0.00111698031378327	undirected	M.23	M.252
NDUFS5	SDHC	0.000374221421873044	undirected	M.23	M.366
NDUFS5	COX20	0.000172509084232497	undirected	M.23	M.220
NDUFS5	SDHB	0.00504795411574932	undirected	M.23	M.346
NDUFS5	FH	0.00343123530812806	undirected	M.23	M.366
NDUFS5	NDUFS3	0.00616874532551548	undirected	M.23	M.81
NDUFS5	COX8A	0.00060526082370127	undirected	M.23	M.125
NDUFS5	NDUFV1	0.00463894398296794	undirected	M.23	M.252
NDUFS5	NDUFS8	0.00203479766395687	undirected	M.23	M.252
NDUFS5	TMEM126B	0.000461930822785672	undirected	M.23	M.389
NDUFS5	NDUFC2	0.000143453996423792	undirected	M.23	M.364
NDUFS5	ME3	1.46943097244501e-05	undirected	M.23	M.427
NDUFS5	NDUFA9	0.0160630053510683	undirected	M.23	M.367
NDUFS5	COX14	0.00852234954069897	undirected	M.23	M.366
NDUFS5	COQ10A	0.000478579838394277	undirected	M.23	M.46
NDUFS5	CS	0.000667125647504596	undirected	M.23	M.342
NDUFS5	NDUFA12	0.000389524270504982	undirected	M.23	M.252
NDUFS5	SUCLA2	7.21102654190897e-05	undirected	M.23	M.186
NDUFS5	NUBPL	0.00169519998639489	undirected	M.23	M.263
NDUFS5	DLST	0.00368911544468453	undirected	M.23	M.33
NDUFS5	NDUFB1	5.79036283954171e-05	undirected	M.23	M.132
NDUFS5	IDH3A	0.0030076447191999	undirected	M.23	M.385
NDUFS5	NDUFAF1	0.000195337656572203	undirected	M.23	M.380
NDUFS5	COX5A	0.000747984736255258	undirected	M.23	M.252
NDUFS5	ETFA	0.00241666130895046	undirected	M.23	M.339
NDUFS5	IDH2	0.00327238753096892	undirected	M.23	M.232
NDUFS5	FAHD1	0.000110115007045164	undirected	M.23	M.63
NDUFS5	NDUFB10	0.00406425903394059	undirected	M.23	M.366
NDUFS5	UQCRC2	0.00245856185592397	undirected	M.23	M.346
NDUFS5	COX4I1	0.000913896114046575	undirected	M.23	M.252
NDUFS5	TRAP1	0.000167742716388641	undirected	M.23	M.296
NDUFS5	NDUFAB1	0.000321620868365291	undirected	M.23	M.266
NDUFS5	TACO1	0.0011715208265638	undirected	M.23	M.58
NDUFS5	SCO1	0.00155760377388725	undirected	M.23	M.169
NDUFS5	COX11	0.000281268817412528	undirected	M.23	M.119
NDUFS5	ME2	0.00232534932949613	undirected	M.23	M.367
NDUFS5	NDUFS7	0.000437653975948304	undirected	M.23	M.153
NDUFS5	COX6B1	0.00165854043502978	undirected	M.23	M.132
NDUFS5	ECSIT	0.00204321899972182	undirected	M.23	M.162
NDUFS5	NDUFB7	0.000423055775316428	undirected	M.23	M.18
NDUFS5	UQCRFS1	0.00132527779029468	undirected	M.23	M.27
NDUFS5	ETFB	0.0012653932651393	undirected	M.23	M.299
NDUFS5	NDUFAF7	0.00102838478989931	undirected	M.23	M.116
NDUFS5	COX5B	0.000558753688581937	undirected	M.23	M.122
NDUFS5	COQ10B	6.77532261039726e-06	undirected	M.23	M.157
NDUFS5	NDUFB3	0.000393963104364348	undirected	M.23	M.220
NDUFS5	COX7A2L	0.00136080471114408	undirected	M.23	M.67
NDUFS5	LRPPRC	0.0075522063808523	undirected	M.23	M.125
NDUFS5	SUCLG1	0.00111293516138133	undirected	M.23	M.63
NDUFS5	NDUFS1	0.0131085899791014	undirected	M.23	M.367
NDUFS5	NDUFA10	0.00585343969678198	undirected	M.23	M.33
NDUFS5	NDUFAF5	0.00248024384166157	undirected	M.23	M.27
NDUFS5	IDH3B	5.48341788435547e-05	undirected	M.23	M.419
NDUFS5	NDUFV3	0.000162391169714282	undirected	M.23	M.307
NDUFS5	UQCR10	0.0122182800822588	undirected	M.23	M.125
NDUFS5	ACO2	0.00966901121787733	undirected	M.23	M.27
NDUFS5	NDUFA6	0.00124012963075648	undirected	M.23	M.366
NDUFS5	SCO2	7.66043506604808e-05	undirected	M.23	M.24
NDUFS5	NDUFAF3	0.00145474979939508	undirected	M.23	M.178
NDUFS5	TIMMDC1	0.000992891491380821	undirected	M.23	M.178
