fromNode	toNode	weight	direction	fromAltName	toAltName
CASQ1	CASQ2	3.29621197336927e-07	undirected	M.364	M.436
CASQ1	TNNI1	2.35876780350086e-05	undirected	M.364	M.33
CASQ1	TNNI2	0.0259037896407293	undirected	M.364	M.448
CASQ1	TNNT3	0.0203895530994056	undirected	M.364	M.448
CASQ1	ATP2A2	5.12813018715974e-08	undirected	M.364	M.36
CASQ1	MYL2	7.38194001319581e-05	undirected	M.364	M.33
CASQ1	MYH7	5.5411610775713e-05	undirected	M.364	M.33
CASQ1	TPM1	0.0141641109730251	undirected	M.364	M.448
CASQ1	ATP2A1	0.0307485792476543	undirected	M.364	M.239
CASQ1	MYH1	0.0516015738746389	undirected	M.364	M.277
CASQ1	MYH2	2.94365365961502e-05	undirected	M.364	M.157
CASQ1	TNNT1	3.94631254997391e-05	undirected	M.364	M.232
CASQ1	MYL1	0.00113704938943582	undirected	M.364	M.372
CASQ1	MYBL2	1.65304323245241e-05	undirected	M.364	M.306
CASQ1	TNNC2	0.0302003298579144	undirected	M.364	M.448
CASQ1	MYL3	1.27756568844006e-05	undirected	M.364	M.436
CASQ1	TNNC1	2.50655315184867e-05	undirected	M.364	M.386
CASQ1	TMOD1	0.00680997219105139	undirected	M.364	M.127
CASQ2	TNNI1	0.0259310760945933	undirected	M.436	M.33
CASQ2	TNNI2	1.05076734091547e-07	undirected	M.436	M.448
CASQ2	TNNT3	5.42514699830576e-10	undirected	M.436	M.448
CASQ2	ATP2A2	0.0180572282810199	undirected	M.436	M.36
CASQ2	MYL2	0.00932432238490033	undirected	M.436	M.33
CASQ2	MYH7	0.0128609620928574	undirected	M.436	M.33
CASQ2	TPM1	2.44636755297734e-09	undirected	M.436	M.448
CASQ2	ATP2A1	7.63978658113729e-10	undirected	M.436	M.239
CASQ2	MYH1	1.42444214423776e-07	undirected	M.436	M.277
CASQ2	MYH2	8.48861737351436e-05	undirected	M.436	M.157
CASQ2	TNNT1	0.0226962620732096	undirected	M.436	M.232
CASQ2	MYL1	3.54859257534201e-08	undirected	M.436	M.372
CASQ2	MYBL2	2.39476627160728e-05	undirected	M.436	M.306
CASQ2	TNNC2	2.44220692602326e-06	undirected	M.436	M.448
CASQ2	MYL3	0.0466921063981618	undirected	M.436	M.436
CASQ2	TNNC1	0.0172457163435319	undirected	M.436	M.386
CASQ2	TMOD1	3.41078473242717e-08	undirected	M.436	M.127
TNNI1	TNNI2	2.70626296927645e-08	undirected	M.33	M.448
TNNI1	TNNT3	8.1445850064199e-11	undirected	M.33	M.448
TNNI1	ATP2A2	0.0120256840009973	undirected	M.33	M.36
TNNI1	MYL2	0.056614241245114	undirected	M.33	M.33
TNNI1	MYH7	0.101058525897325	undirected	M.33	M.33
TNNI1	TPM1	2.48171116989937e-09	undirected	M.33	M.448
TNNI1	ATP2A1	1.3102144036381e-08	undirected	M.33	M.239
TNNI1	MYH1	4.71178455674348e-06	undirected	M.33	M.277
TNNI1	MYH2	7.83922767333411e-06	undirected	M.33	M.157
TNNI1	TNNT1	0.0493181316890933	undirected	M.33	M.232
TNNI1	MYL1	4.99616006710557e-06	undirected	M.33	M.372
TNNI1	MYBL2	7.12534098201711e-06	undirected	M.33	M.306
TNNI1	TNNC2	1.00772896460821e-06	undirected	M.33	M.448
TNNI1	MYL3	0.0832472978650165	undirected	M.33	M.436
TNNI1	TNNC1	0.0130841178997848	undirected	M.33	M.386
TNNI1	TMOD1	1.21460619340041e-11	undirected	M.33	M.127
TNNI2	TNNT3	0.0411186058325396	undirected	M.448	M.448
TNNI2	ATP2A2	4.99888690441708e-08	undirected	M.448	M.36
TNNI2	MYL2	1.34327830103587e-06	undirected	M.448	M.33
TNNI2	MYH7	9.52455236902239e-08	undirected	M.448	M.33
TNNI2	TPM1	0.0239706631808837	undirected	M.448	M.448
TNNI2	ATP2A1	0.0485279719860919	undirected	M.448	M.239
TNNI2	MYH1	0.0121032001225965	undirected	M.448	M.277
TNNI2	MYH2	0.000271502771185483	undirected	M.448	M.157
TNNI2	TNNT1	1.12654250148392e-05	undirected	M.448	M.232
TNNI2	MYL1	0.000557554869582644	undirected	M.448	M.372
TNNI2	MYBL2	4.88911086552468e-05	undirected	M.448	M.306
TNNI2	TNNC2	0.0354501334146508	undirected	M.448	M.448
TNNI2	MYL3	1.78680226725625e-07	undirected	M.448	M.436
TNNI2	TNNC1	2.49020367590891e-05	undirected	M.448	M.386
TNNI2	TMOD1	0.0373936801231732	undirected	M.448	M.127
TNNT3	ATP2A2	5.82495052192655e-10	undirected	M.448	M.36
TNNT3	MYL2	4.34493019341176e-09	undirected	M.448	M.33
TNNT3	MYH7	1.41741196557632e-09	undirected	M.448	M.33
TNNT3	TPM1	0.0825543194849921	undirected	M.448	M.448
TNNT3	ATP2A1	0.0456955609593791	undirected	M.448	M.239
