nodeName	altName	nodeAttr[nodesPresent, ]
CASQ1	M.364	fast twitch
CASQ2	M.436	slow twitch
TNNI1	M.33	slow twitch
TNNI2	M.448	fast twitch
TNNT3	M.448	fast twitch
ATP2A2	M.36	slow twitch
MYL2	M.33	slow twitch
MYH7	M.33	slow twitch
TPM1	M.448	fast twitch
ATP2A1	M.239	fast twitch
MYH1	M.277	fast twitch
MYH2	M.157	fast twitch
TNNT1	M.232	slow twitch
MYL1	M.372	fast twitch
MYBL2	M.306	slow twitch
TNNC2	M.448	fast twitch
MYL3	M.436	slow twitch
TNNC1	M.386	slow twitch
TMOD1	M.127	slow twitch
