Power,MinModulesize,deepSplit,CutHeight,NoModules,Min,1st.Qu.,Median,Mean,3rd.Qu.,Max
10,15,0,0.15,141,44,82,114,129.2,146,647
10,15,0,0.1,141,44,82,114,129.2,146,647
10,15,0,0.2,129,46,89,122,141.2,152,1128
10,30,2,0.15,161,41,77,97,113.1,130,462
10,30,2,0.1,162,41,77,96,112.5,130,462
8,20,0,0.15,134,45,87,115.5,135.9,157.8,532
8,20,0,0.1,134,45,87,115.5,135.9,157.8,532
10,30,2,0.2,156,41,77,98.5,116.8,134,533
6,20,0,0.15,152,34,72,98,119.8,145,403
6,20,0,0.1,152,34,72,98,119.8,145,403
14,20,2,0.15,138,36,74,96.5,132,126.8,3207
14,20,2,0.1,139,36,74,96,131.1,126,3207
6,20,0,0.2,145,34,72,99,125.6,148,452
8,20,0,0.2,125,45,87,117,145.7,163,568
10,15,0,0.25,93,55,101,134,195.9,180,2801
6,15,0,0.15,204,25,57.75,72.5,89.3,105.25,324
6,15,0,0.1,205,25,57,72,88.86,105,324
14,20,2,0.2,120,36,75.5,99.5,151.8,136.5,3207
14,30,4,0.15,193,33,54,72,94.39,102,2330
14,30,4,0.1,194,33,54.25,72,93.9,101.75,2330
8,30,2,0.1,212,35,59,75.5,85.93,97.5,381
8,15,0,0.2,217,23,51,71,83.95,99,369
8,30,2,0.15,210,35,59,75.5,86.75,98.5,381
6,30,0,0.15,93,42,113,167,195.9,226,673
6,30,0,0.1,93,42,113,167,195.9,226,673
6,30,2,0.15,230,30,49,66,79.2,92,335
6,30,2,0.1,231,30,49,66,78.86,92,335
6,30,0,0.2,88,42,113,167,207,235,673
8,15,0,0.15,224,23,50.75,69,81.33,96.25,369
8,15,0,0.1,224,23,50.75,69,81.33,96.25,369
6,15,0,0.2,187,25,57.5,71,97.42,110.5,384
8,15,0,0.25,145,25,49,80,125.6,140,1705
8,20,0,0.25,94,45,93.5,130,193.8,206.2,1344
6,20,0,0.25,116,35,73,107.5,157,175.5,1006
14,30,4,0.2,163,33,53,70,111.8,105.5,2330
10,20,0,0.15,81,85,146,195,224.9,255,1184
10,20,0,0.1,81,85,146,195,224.9,255,1184
10,30,2,0.25,113,46,77,93,161.2,134,3038
10,20,0,0.2,79,85,152,203,230.6,272.5,1184
18,20,2,0.1,73,47,85,114,249.5,148,8842
6,30,2,0.2,216,30,48,65,84.34,91.25,563
8,30,2,0.2,200,35,59,74,91.08,97,484
6,15,0,0.25,141,25,61,79,129.2,140,853
6,30,0,0.25,79,42,113.5,169,230.6,302,717
14,30,2,0.15,68,62,135.8,177.5,267.9,235.5,4414
14,30,2,0.1,68,62,135.8,177.5,267.9,235.5,4414
6,30,4,0.1,279,30,40.5,55,65.29,76.5,254
18,20,2,0.15,71,47,85,112,256.6,154,8842
18,30,4,0.1,130,36,60,76,140.1,100.8,7283
10,30,4,0.1,282,6,42,55,64.6,74.75,368
14,30,2,0.2,61,62,136,168,298.6,256,4414
6,30,4,0.15,275,30,40,55,66.24,76,464
8,30,4,0.15,275,30,43,59,66.24,75.5,362
14,20,2,0.25,80,36,76,103,227.7,169,3412
8,30,0,0.15,70,8,162,220.5,260.2,303.5,964
8,30,0,0.1,70,8,162,220.5,260.2,303.5,964
10,20,2,0.25,184,16,41,56,99.01,86,2732
10,30,4,0.15,276,6,41.75,55,66,77,368
10,30,4,0.2,250,6,40.25,53,72.87,76.5,1129
18,30,4,0.15,126,36,60,75.5,144.6,100.8,7283
8,30,0,0.2,68,8,164,220.5,267.9,319.8,964
10,20,2,0.2,267,16,41,56,68.23,74,463
6,30,4,0.2,250,30,40,55,72.87,77,801
8,30,4,0.1,280,30,43,59,65.06,74.25,362
10,15,0,0.3,58,66,103.8,139.5,314.1,260.8,4304
10,20,2,0.3,119,16,40,59,153.1,121.5,4309
22,30,4,0.1,73,39,69,90,249.5,112,10991
10,20,2,0.15,291,16,41,56,62.6,73,293
10,20,2,0.1,294,16,41,56,61.96,73,242
14,30,4,0.25,126,33,50.25,64,144.58,106.25,3019
22,20,2,0.1,53,37,74,103,343.7,133,12416
8,20,2,0.2,327,20,32,44,55.71,61,505
10,20,0,0.25,61,101,169,233,298.6,318,1918
6,30,2,0.25,158,30,48,65,115.3,98.5,2960
14,15,2,0.25,128,25,44.75,61,142.32,103.25,3256
14,15,2,0.2,216,25,46,60,84.34,79,2204
18,15,2,0.1,156,22,48,65.5,116.8,85,7226
8,30,2,0.25,137,35,54,74,133,112,2982
10,30,4,0.25,194,6,40,52,93.9,78.75,2812
18,15,2,0.15,146,22,48,65.5,124.77,85.75,7226
18,15,2,0.2,101,22,48,65,180.4,96,7226
18,30,4,0.2,89,36,60,76,204.7,112,7283
6,15,0,0.3,62,25,62,109,293.8,194,5700
10,30,2,0.3,61,46,80,128,298.6,246,5393
14,15,4,0.3,235,15,22,28,77.52,44.5,4073
22,30,4,0.15,63,39,69,87,289.2,109.5,10991
6,30,2,0.3,99,30,47,69,184,116.5,4694
6,30,4,0.3,135,30,36.5,56,134.9,92.5,4508
8,15,0,0.3,76,25,50.5,102.5,239.7,201.2,5340
8,20,2,0.25,209,20,32,48,87.16,72,2952
8,30,0,0.25,58,8,178,259.5,314.1,384.2,964
8,30,4,0.25,193,30,41,59,94.39,78,2936
10,15,2,0.25,263,16,27,36,69.27,57.5,2287
14,15,2,0.15,243,25,46,60,74.97,75.5,2204
14,15,2,0.1,246,25,46,60,74.05,74,2204
18,20,2,0.2,44,47,82.75,115.5,414.02,197.75,8842
6,30,4,0.25,185,30,38,51,98.47,74,3173
8,20,2,0.15,362,20,32,44,50.32,58,268
10,30,4,0.3,143,6,39.5,52,127.4,82.5,4599
22,15,2,0.1,114,26,44.25,58,159.8,80,10782
22,20,2,0.15,39,37,73,101,467.1,139,12416
8,15,2,0.25,315,15,22,29,57.83,47,2889
8,20,0,0.3,48,45,99.75,169.5,379.52,253.25,6747
10,15,2,0.2,396,15,27,36,46,48.25,408
8,20,2,0.1,364,20,32,44,50.05,58,268
8,30,4,0.2,244,30,41,56,74.66,72,1479
14,20,4,0.3,167,21,30,37,109.1,61,4486
14,30,2,0.25,36,62,128,164.5,506,307,4414
6,15,2,0.2,428,15,23,31,42.56,42,1011
6,20,0,0.3,55,35,70,124,331.2,238.5,5795
6,30,0,0.3,43,42,111,167,423.7,382.5,5116
8,30,4,0.3,140,30,41,59.5,130.1,84,3890
10,20,0,0.3,34,111,161.5,252.5,535.8,384.2,5741
14,15,4,0.25,338,15,22,27,53.9,37,2625
14,20,2,0.3,41,36,69,121,444.3,249,4985
14,20,4,0.25,235,21,31,37,77.52,51,2525
18,15,4,0.2,283,16,24,31,64.37,42,4850
18,20,4,0.25,103,21,33,46,176.9,71.5,6072
22,15,4,0.2,145,16,25,31,125.6,50,8900
6,15,4,0.2,482,15,20.25,27,37.79,38,921
6,20,2,0.3,144,20,30,40.5,126.51,69.25,4339
6,20,4,0.15,425,20,27,35,42.86,51,222
8,15,2,0.2,449,15,23,29,40.57,42,477
8,20,4,0.25,276,20,26,36,66,52.25,2803
10,20,4,0.2,384,20,26,34,47.44,47,1336
14,15,2,0.3,59,25,52,90,308.8,198.5,5832
14,20,4,0.15,372,21,32,39,48.97,50,1317
18,20,4,0.2,176,21,33,44.5,103.5,60,6072
18,30,4,0.25,51,43,60,89,357.2,184.5,7283
22,15,2,0.15,97,26,44,55,187.8,77,10782
6,15,4,0.25,355,15,20,27,51.32,40,2521
6,20,2,0.2,343,20,30,39,53.11,54,925
6,20,4,0.2,378,20,26,34,48.19,50.75,498
8,20,2,0.3,144,20,32,47,126.51,74.25,5075
8,20,4,0.3,198,20,27,37,92,57.75,4380
8,30,0,0.3,37,8,171,259,492.4,460,5572
8,30,2,0.3,83,35,59.5,78,219.5,133,4263
10,20,4,0.25,298,20,26,35,61.13,50.75,2263
10,20,4,0.3,220,20,26,34,82.81,49.25,4151
14,30,4,0.3,82,34,49.25,61,222.16,114,4477
18,15,4,0.25,162,16,24,30,112.45,47.75,4850
18,30,2,0.1,28,102,179.8,256.5,650.6,401,10353
6,15,2,0.15,489,15,24,31,37.25,42,217
6,15,2,0.3,191,15,25,36,95.38,59,3890
6,15,4,0.15,549,15,21,27,33.18,38,215
6,20,2,0.15,385,20,30,41,47.32,57,225
8,15,4,0.2,497,15,20,25,36.65,36,1384
8,15,4,0.3,262,15,20,28,69.53,43.75,4027
8,20,4,0.2,374,20,26,36,48.71,51.75,713
10,15,4,0.3,280,15,20,26,65.06,39,4115
14,20,4,0.2,324,21,31,38,56.23,49.25,1350
14,30,2,0.3,29,62,136,188,628.2,330,4700
18,15,2,0.25,58,22,45,68.5,314.1,138.8,7226
18,20,4,0.3,68,21,33,46.5,267.9,86.5,6072
22,20,4,0.15,137,26,38,49,133,67,10189
22,30,4,0.2,38,39,69.25,94.5,479.39,168.5,10991
6,15,2,0.25,291,15,23,30,62.6,45.5,3153
6,15,4,0.3,236,15,20,28,77.19,45.25,4422
6,20,2,0.25,254,20,30,39,71.72,54,2637
8,15,2,0.3,208,15,22,31.5,87.58,55.25,4490
14,15,4,0.2,458,15,22,27.5,39.78,36,1243
18,30,2,0.15,22,102,179.2,256.5,828,362,10353
22,15,4,0.15,244,16,25,31,74.66,41,8900
6,20,4,0.25,273,20,26,34,66.73,49,2905
10,15,2,0.15,450,15,28,35.5,40.48,47,209
10,15,2,0.3,168,16,29,38,108.44,60.25,4093
10,15,4,0.25,378,15,20,26,48.19,38,2841
14,15,4,0.15,542,15,23,29,33.61,37,817
18,15,2,0.3,39,24,47.5,96,467.1,233,7226
18,15,4,0.3,102,16,23.25,31,178.6,54,4850
18,20,2,0.25,30,47,71.5,137,607.2,264.8,8842
18,30,2,0.2,19,102,172.5,258,958.8,426,10353
22,15,4,0.25,60,16,26.75,35.5,303.62,101,8900
22,20,4,0.25,33,29,43,70,552,171,10189
6,20,2,0.1,392,20,30,41,46.47,57,219
8,15,4,0.25,373,15,20,26,48.84,40,2701
8,20,4,0.15,438,20,27,35,41.59,47.75,349
8,20,4,0.1,448,20,27,36,40.66,48.25,225
10,15,4,0.2,508,15,20,26,35.86,34,1331
18,20,4,0.15,242,21,35,46,75.28,58.75,6072
22,15,2,0.2,57,26,41,58,319.6,102,10782
22,20,2,0.2,21,37,73,135,867.5,292,12416
22,20,4,0.2,82,27,38.25,51,222.16,77.25,10189
22,30,4,0.25,22,50,98.25,172,828.04,412.25,10991
8,15,2,0.15,524,15,23,30,34.77,40,210
14,15,0,0.15,28,77,183,246,650.6,331.5,7016
14,15,0,0.1,31,77,188,246,587.6,333,7016
14,15,0,0.2,27,77,183,246,674.7,326.5,7016
14,20,4,0.1,383,21,32,40,47.56,51,1317
18,15,4,0.15,368,16,25,31,49.5,41,4850
22,15,2,0.25,29,28,45,93,628.2,205,10782
22,20,4,0.1,150,25,39,48.5,121.45,64.75,10189
6,15,2,0.1,501,15,24,31,36.36,42,217
6,20,4,0.1,436,20,27,35,41.78,51.25,222
8,15,2,0.1,529,15,23,30,34.44,40,210
8,15,4,0.15,594,15,20,26,30.67,36,194
10,15,2,0.1,457,15,28,36,39.86,47,209
10,15,4,0.15,606,15,20,26,30.06,35,187
10,20,4,0.15,440,20,26,35,41.4,48,263
10,20,4,0.1,451,20,26.5,35,40.39,48,211
10,30,0,0.15,41,137,247,343,444.3,458,2213
10,30,0,0.1,41,137,247,343,444.3,458,2213
10,30,0,0.25,38,137,251.8,345,479.4,462.8,3914
10,30,0,0.2,41,137,247,343,444.3,458,2213
14,15,0,0.25,22,77,171.8,265,828,453.2,7016
18,20,2,0.3,17,48,70,137,1072,353,8842
18,30,4,0.3,26,43,63,110,700.7,360.8,7283
22,30,2,0.1,14,134,171.5,250,1301.2,410,13525
6,20,4,0.3,182,20,27,35,100.1,53,4573
